src_office_id,dst_office_id,volume
14762,13502,1
19545,18935,287
13009,10575,300
16313,18935,122
18935,11581,1
10045,11484,300
18249,13009,1
19545,11177,1
16313,12398,1
13502,13009,1
19545,10757,67
13502,10379,28
18249,11177,1
11484,19545,1
13009,13502,1
19545,14762,1
13502,12398,261
10045,10575,69
19545,11581,1
10305,13502,88
18249,18545,43
13009,18647,91
18935,13009,45
13502,11581,1
19545,11484,1
18249,19545,1
18545,10045,236
18935,19545,259
10045,13502,1
19545,18249,300
13502,19545,168
13009,12398,300
19545,10379,300
16313,18545,1
10305,11581,300
13502,11177,1
18249,12398,1
16313,18249,300
18935,18249,300
19545,13009,300
16313,11581,300
14412,10045,300
13502,11484,1
11177,13502,300
13009,18249,1
10045,18647,300
18935,11177,271
16313,10575,91
19545,10575,300
18935,18647,1
19545,12398,1
10045,19545,63
18249,11581,1
13009,18545,1
18935,10379,39
16313,18647,193
18935,18545,1
18935,10757,300
13009,10757,1
19545,14412,1
13009,11177,211
18249,13502,237
13009,10045,300
19545,18647,43
13502,10575,119
11581,10305,188
19545,10045,1
16313,10379,300
16313,14412,1
13009,14762,1
13009,18935,1
18249,10379,1
10045,11177,185
16313,13009,1
13502,14762,1
13502,10757,1
19545,13502,146
16313,11484,1
16313,10757,300
13502,18545,122
13009,11581,1
16313,19545,300
10045,10757,1
18935,12398,97
18647,10045,1
13009,10379,58
18249,18935,1
18935,10575,300
10379,13502,300
10045,11581,300
13502,18647,300
13502,14412,1
10045,18545,300
13009,14412,1
13502,10045,1
19545,18545,300
16313,14762,1
12398,10045,300
10045,13009,300
18545,13502,1
10045,18249,1
10045,12398,1
13009,11484,163
10045,10379,253
18249,10045,300
10045,18935,1
10379,10045,95
13502,18249,239
10045,14762,300
10045,14412,1
16313,11177,300
13502,18935,300
18935,11484,1
10575,19545,108
18935,14762,201
