,office_name,office_id,transfer_price,transfer_max
0,office_16219,16219,100.0,300.0
1,office_10270,10270,100.0,300.0
2,office_11461,11461,100.0,300.0
3,office_10303,10303,100.0,300.0
4,office_15973,15973,100.0,300.0
5,office_14724,14724,100.0,300.0
6,office_10708,10708,100.0,300.0
7,office_13503,13503,100.0,300.0
8,office_19311,19311,100.0,300.0
9,office_10570,10570,100.0,300.0
10,office_13578,13578,100.0,300.0
11,office_10044,10044,100.0,300.0
12,office_15401,15401,100.0,300.0
13,office_18863,18863,100.0,300.0
14,office_11267,11267,100.0,300.0
15,office_12627,12627,100.0,300.0
16,office_17784,17784,100.0,300.0
17,office_13651,13651,100.0,300.0
18,office_13183,13183,100.0,300.0
19,office_15872,15872,100.0,300.0
20,office_14076,14076,100.0,300.0
21,office_16991,16991,100.0,300.0
22,office_12663,12663,100.0,300.0
23,office_12214,12214,100.0,300.0
24,office_19921,19921,100.0,300.0
25,office_18144,18144,100.0,300.0
26,office_19371,19371,100.0,300.0
27,office_16053,16053,100.0,300.0
28,office_18978,18978,100.0,300.0
29,office_17312,17312,100.0,300.0
30,office_19956,19956,100.0,300.0
31,office_12573,12573,100.0,300.0
32,office_19469,19469,100.0,300.0
33,office_11861,11861,100.0,300.0
34,office_10327,10327,100.0,300.0
35,office_17547,17547,100.0,300.0
36,office_19180,19180,100.0,300.0
37,office_12985,12985,100.0,300.0
38,office_14005,14005,100.0,300.0
39,office_16142,16142,100.0,300.0
40,office_15916,15916,100.0,300.0
41,office_17770,17770,100.0,300.0
42,office_12364,12364,100.0,300.0
43,office_13179,13179,100.0,300.0
44,office_19539,19539,100.0,300.0
45,office_17822,17822,100.0,300.0
46,office_16262,16262,100.0,300.0
47,office_16133,16133,100.0,300.0
48,office_10178,10178,100.0,300.0
49,office_11568,11568,100.0,300.0
50,office_13431,13431,100.0,300.0
51,office_19185,19185,100.0,300.0
52,office_16366,16366,100.0,300.0
53,office_13680,13680,100.0,300.0
54,office_11027,11027,100.0,300.0
55,office_10904,10904,100.0,300.0
56,office_17535,17535,100.0,300.0
57,office_19171,19171,100.0,300.0
58,office_11214,11214,100.0,300.0
59,office_16916,16916,100.0,300.0
60,office_18476,18476,100.0,300.0
61,office_11117,11117,100.0,300.0
62,office_14252,14252,100.0,300.0
63,office_11472,11472,100.0,300.0
64,office_12280,12280,100.0,300.0
65,office_18446,18446,100.0,300.0
66,office_12757,12757,100.0,300.0
67,office_17495,17495,100.0,300.0
68,office_15506,15506,100.0,300.0
69,office_10376,10376,100.0,300.0
70,office_15286,15286,100.0,300.0
71,office_11168,11168,100.0,300.0
72,office_13856,13856,100.0,300.0
73,office_15292,15292,100.0,300.0
74,office_13523,13523,100.0,300.0
75,office_14376,14376,100.0,300.0
76,office_17253,17253,100.0,300.0
77,office_15028,15028,100.0,300.0
78,office_15262,15262,100.0,300.0
79,office_15206,15206,100.0,300.0
80,office_12379,12379,100.0,300.0
81,office_15747,15747,100.0,300.0
82,office_19542,19542,100.0,300.0
83,office_13570,13570,100.0,300.0
84,office_13474,13474,100.0,300.0
85,office_10659,10659,100.0,300.0
86,office_14070,14070,100.0,300.0
87,office_13101,13101,100.0,300.0
88,office_12952,12952,100.0,300.0
89,office_18182,18182,100.0,300.0
90,office_19338,19338,100.0,300.0
91,office_10989,10989,100.0,300.0
92,office_18577,18577,100.0,300.0
93,office_15204,15204,100.0,300.0
94,office_13250,13250,100.0,300.0
95,office_17039,17039,100.0,300.0
96,office_14444,14444,100.0,300.0
97,office_18849,18849,100.0,300.0
98,office_10751,10751,100.0,300.0
